"Gainsboro" DCDCDC
"Maximum Green Yellow" D9E650
"Maximum Purple" 733380
"Maximum Red" D92121
"Maximum Red Purple" A63A79
"Maximum Yellow" FAFA37
"Maximum Yellow Red" F2BA49
"May green" 4C9141
"Maya blue" 73C2FB
"Meat brown" E5B73B
"Medium aquamarine" 66DDAA
"Medium blue" 0000CD
"Medium candy apple red" E2062C
"Medium carmine" AF4035
"Medium champagne" F3E5AB
"Medium electric blue" 035096
"Medium jungle green" 1C352D
"Medium lavender magenta" DDA0DD
"Medium orchid" BA55D3
"Medium Persian blue" 0067A5
"Medium purple" 9370DB
"Medium red-violet" BB3385
"Medium ruby" AA4069
"Medium sea green" 3CB371
"Medium sky blue" 80DAEB
"Medium slate blue" 7B68EE
"Medium spring bud" C9DC87
"Medium spring green" 00FA9A
"Medium taupe" 674C47
"Medium turquoise" 48D1CC
"Medium Tuscan red" 79443B
"Medium vermilion" D9603B
"Medium violet-red" C71585
"Mellow apricot" F8B878
"Mellow yellow" F8DE7E
"Melon" FDBCB4
"Metallic Seaweed" 0A7E8C
"Metallic Sunburst" 9C7C38
"Mexican pink" E4007C
"Middle Blue" 7ED4E6
"Middle Blue Green" 8DD9CC
"Middle Blue Purple" 8B72BE
"Middle Red Purple" 210837
"Middle Green" 4D8C57
"Middle Green Yellow" ACBF60
"Middle Purple" D982B5
"Middle Red" E58E73
"Middle Red Purple" A55353
"Middle Yellow" FFEB00
"Middle Yellow Red" ECB176
"Midnight" 702670
"Midnight blue" 191970
"Midnight green (eagle green)" 004953
"Mikado yellow" FFC40C
"Milk" FDFFF5
"Mimi Pink" FFDAE9
"Mindaro" E3F988
"Ming" 36747D
"Minion Yellow" F5E050
"Mint" 3EB489
"Mint cream" F5FFFA
"Mint green" 98FF98
"Misty Moss" BBB477
"Misty rose" FFE4E1
"Moccasin" FAEBD7
"Mode beige" 967117
"Moonstone blue" 73A9C2
"Mordant red 19" AE0C00
"Morning blue" 8DA399
"Moss green" 8A9A5B
"Mountain Meadow" 30BA8F
"Mountbatten pink" 997A8D
"MSU Green" 18453B
"Mughal green" 306030
"Mulberry" C54B8C
"Mummy's Tomb" 828E84
"Mustard" FFDB58
"Myrtle green" 317873
"Mystic" D65282
"Mystic Maroon" AD4379
