"Begonia" FA6E79
"Beige" F5F5DC
"B'dazzled blue" 2E5894
"Big dip o’ruby" 9C2542
"Big Foot Feet" E88E5A
"Bisque" FFE4C4
"Bistre" 3D2B1F
"Bistre brown" 967117
"Bitter lemon" CAE00D
"Bitter lime" BFFF00
"Bittersweet" FE6F5E
"Bittersweet shimmer" BF4F51
"Black" 000000
"Black bean" 3D0C02
"Black Coral" 54626F
"Black leather jacket" 253529
"Black olive" 3B3C36
"Black Shadows" BFAFB2
"Blanched almond" FFEBCD
"Blast-off bronze" A57164
"Bleu de France" 318CE7
"Blizzard Blue" ACE5EE
"Blond" FAF0BE
"Blue" 0000FF
"Blue (Crayola)" 1F75FE
"Blue (Munsell)" 0093AF
"Blue (NCS)" 0087BD
"Blue (Pantone)" 0018A8
"Blue (pigment)" 333399
"Blue (RYB)" 0247FE
"Blue Bell" A2A2D0
"Blue Bolt" 00B9FB
"Blue-gray" 6699CC
"Blue-green" 0D98BA
"Blue Jeans" 5DADEC
"Blue Lagoon" ACE5EE
"Blue-magenta violet" 553592
"Blue sapphire" 126180
"Blue-violet" 8A2BE2
"Blue yonder" 5072A7
"Blueberry" 4F86F7
"Bluebonnet" 1C1CF0
"Blush" DE5D83
"Bole" 79443B
"Bondi blue" 0095B6
"Bone" E3DAC9
"Booger Buster" DDE26A
"Boston University Red" CC0000
"Bottle green" 006A4E
"Boysenberry" 873260
"Brandeis blue" 0070FF
"Brass" B5A642
"Brick red" CB4154
"Bright cerulean" 1DACD6
"Bright green" 66FF00
"Bright lavender" BF94E4
"Bright lilac" D891EF
"Bright maroon" C32148
"Bright navy blue" 1974D2
"Bright pink" FF007F
"Bright turquoise" 08E8DE
"Bright ube" D19FE8
"Bright Yellow (Crayola)" FFAA1D
"Brilliant azure" 3399FF
"Brilliant lavender" F4BBFF
"Brilliant rose" FF55A3
"Brink pink" FB607F
"British racing green" 004225
"Bronze" CD7F32
"Bronze Yellow" 737000
"Brown (traditional)" 964B00
"Brown (web)" A52A2A
"Brown-nose" 6B4423
"Brown Sugar" AF6E4D
"Brown Yellow" cc9966
"Brunswick green" 1B4D3E
"Bubble gum" FFC1CC
"Bubbles" E7FEFF
"Bud green" 7BB661
"Buff" F0DC82
"Bulgarian rose" 480607
"Burgundy" 800020
"Burlywood" DEB887
"Burnished Brown" A17A74
"Burnt orange" CC5500
"Burnt sienna" E97451
"Burnt umber" 8A3324
"Button Blue" 24A0ED
"Byzantine" BD33A4
"Byzantium" 702963
"Cadet" 536872
"Cadet blue" 5F9EA0
"Cadet grey" 91A3B0
"Cadmium green" 006B3C
"Cadmium orange" ED872D
"Cadmium red" E30022
"Cadmium yellow" FFF600
"Café au lait" A67B5B
"Café noir" 4B3621
"Cal Poly Pomona green" 1E4D2B
"Cambridge Blue" A3C1AD
"Camel" C19A6B
"Cameo pink" EFBBCC
"Camouflage green" 78866B
"Canary" FFFF99
"Canary yellow" FFEF00
"Candy apple red" FF0800
"Candy pink" E4717A
"Capri" 00BFFF
"Caput mortuum" 592720
"Cardinal" C41E3A
"Caribbean green" 00CC99
"Carmine" 960018
"Rich carmine" D70040
"Carmine pink" EB4C42
"Carmine red" FF0038
"Carnation pink" FFA6C9
"Carnelian" B31B1B
"Carolina blue" 56A0D3
"Carrot orange" ED9121
"Castleton green" 00563F
"Catalina blue" 062A78
"Catawba" 703642
"Cedar Chest" C95A49
"Ceil" 92A1CF
"Celadon" ACE1AF
"Celadon blue" 007BA7
"Celadon green" 2F847C
"Celeste" B2FFFF
"Celestial blue" 4997D0
"Cerise" DE3163
"Cerise pink" EC3B83
"Cerulean" 007BA7
"Cerulean blue" 2A52BE
"Cerulean frost" 6D9BC3
"CG Blue" 007AA5
"CG Red" E03C31
